holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,hour,weekday,month
,288.28,0.0,0.0,40,Clouds,9,Tuesday,October
,289.36,0.0,0.0,75,Clouds,10,Tuesday,October
,289.58,0.0,0.0,90,Clouds,11,Tuesday,October
,290.13,0.0,0.0,90,Clouds,12,Tuesday,October
,291.14,0.0,0.0,75,Clouds,13,Tuesday,October
,291.72,0.0,0.0,1,Clear,14,Tuesday,October
,293.17,0.0,0.0,1,Clear,15,Tuesday,October
,293.86,0.0,0.0,1,Clear,16,Tuesday,October
,294.14,0.0,0.0,20,Clouds,17,Tuesday,October
,293.1,0.0,0.0,20,Clouds,18,Tuesday,October
,290.97,0.0,0.0,20,Clouds,19,Tuesday,October
,289.38,0.0,0.0,1,Clear,20,Tuesday,October
,288.61,0.0,0.0,1,Clear,21,Tuesday,October
,287.16,0.0,0.0,1,Clear,22,Tuesday,October
,285.45,0.0,0.0,1,Clear,23,Tuesday,October
,284.63,0.0,0.0,1,Clear,0,Wednesday,October
,283.47,0.0,0.0,1,Clear,1,Wednesday,October
,281.18,0.0,0.0,1,Clear,2,Wednesday,October
,281.09,0.0,0.0,1,Clear,3,Wednesday,October
,279.53,0.0,0.0,1,Clear,4,Wednesday,October
,278.62,0.0,0.0,1,Clear,5,Wednesday,October
,278.23,0.0,0.0,1,Clear,6,Wednesday,October
,278.12,0.0,0.0,1,Clear,8,Wednesday,October
,282.48,0.0,0.0,1,Clear,9,Wednesday,October
,291.97,0.0,0.0,1,Clear,12,Wednesday,October
,293.23,0.0,0.0,1,Clear,13,Wednesday,October
,294.31,0.0,0.0,1,Clear,14,Wednesday,October
,295.17,0.0,0.0,1,Clear,15,Wednesday,October
,295.13,0.0,0.0,1,Clear,16,Wednesday,October
,293.66,0.0,0.0,20,Clouds,18,Wednesday,October
,290.65,0.0,0.0,20,Clouds,19,Wednesday,October
,288.19,0.0,0.0,20,Clouds,20,Wednesday,October
,287.1,0.0,0.0,1,Clear,21,Wednesday,October
,286.25,0.0,0.0,1,Clear,22,Wednesday,October
,285.26,0.0,0.0,1,Clear,23,Wednesday,October
,284.55,0.0,0.0,1,Clear,0,Thursday,October
,283.47,0.0,0.0,1,Clear,1,Thursday,October
,283.17,0.0,0.0,1,Clear,2,Thursday,October
,282.04,0.0,0.0,1,Clear,3,Thursday,October
,281.69,0.0,0.0,1,Clear,4,Thursday,October
,281.32,0.0,0.0,1,Clear,5,Thursday,October
,280.74,0.0,0.0,1,Clear,6,Thursday,October
,280.57,0.0,0.0,1,Clear,7,Thursday,October
,281.86,0.0,0.0,1,Clear,8,Thursday,October
,284.98,0.0,0.0,1,Clear,9,Thursday,October
,289.18,0.0,0.0,1,Clear,10,Thursday,October
,291.55,0.0,0.0,1,Clear,11,Thursday,October
,294.97,0.0,0.0,1,Clear,12,Thursday,October
,296.38,0.0,0.0,1,Clear,13,Thursday,October
,297.32,0.0,0.0,1,Clear,14,Thursday,October
,298.17,0.0,0.0,1,Clear,15,Thursday,October
,298.06,0.0,0.0,20,Clouds,16,Thursday,October
,297.67,0.0,0.0,20,Clouds,17,Thursday,October
,296.36,0.0,0.0,40,Clouds,18,Thursday,October
,293.85,0.0,0.0,40,Clouds,19,Thursday,October
,292.43,0.0,0.0,40,Clouds,20,Thursday,October
,291.77,0.0,0.0,75,Clouds,21,Thursday,October
,291.36,0.0,0.0,75,Clouds,22,Thursday,October
,291.12,0.0,0.0,75,Clouds,23,Thursday,October
,290.63,0.0,0.0,75,Clouds,0,Friday,October
,290.46,0.0,0.0,40,Clouds,1,Friday,October
,289.26,0.0,0.0,0,Clear,3,Friday,October
,283.21,0.0,0.0,75,Clouds,5,Friday,October
,282.24,0.0,0.0,90,Clouds,6,Friday,October
,281.69,0.0,0.0,90,Clouds,7,Friday,October
,280.57,0.0,0.0,90,Clouds,8,Friday,October
,280.02,0.0,0.0,75,Clouds,9,Friday,October
,280.11,0.0,0.0,75,Clouds,10,Friday,October
,280.0,0.0,0.0,90,Clouds,11,Friday,October
,280.53,0.0,0.0,90,Clouds,12,Friday,October
,281.43,0.0,0.0,75,Clouds,13,Friday,October
,281.78,0.0,0.0,90,Clouds,14,Friday,October
,281.91,0.0,0.0,90,Clouds,15,Friday,October
,281.73,0.0,0.0,90,Clouds,16,Friday,October
,281.42,0.0,0.0,90,Clouds,17,Friday,October
,280.87,0.0,0.0,90,Clouds,18,Friday,October
,280.15,0.0,0.0,90,Clouds,19,Friday,October
,279.78,0.0,0.0,90,Clouds,20,Friday,October
,279.65,0.0,0.0,75,Clouds,21,Friday,October
,279.22,0.0,0.0,40,Clouds,22,Friday,October
,279.06,0.0,0.0,40,Clouds,23,Friday,October
,278.81,0.0,0.0,90,Clouds,0,Saturday,October
,278.55,0.0,0.0,90,Clouds,1,Saturday,October
,278.59,0.0,0.0,90,Clouds,2,Saturday,October
,276.99,0.0,0.0,75,Clouds,4,Saturday,October
,276.35,0.0,0.0,20,Clouds,5,Saturday,October
,275.4,0.0,0.0,1,Clear,6,Saturday,October
,275.17,0.0,0.0,1,Clear,7,Saturday,October
,274.99,0.0,0.0,1,Clear,8,Saturday,October
,275.09,0.0,0.0,40,Clouds,9,Saturday,October
,276.88,0.0,0.0,20,Clouds,10,Saturday,October
,278.04,0.0,0.0,20,Clouds,11,Saturday,October
,279.08,0.0,0.0,40,Clouds,12,Saturday,October
,280.12,0.0,0.0,75,Clouds,13,Saturday,October
,280.25,0.0,0.0,75,Clouds,14,Saturday,October
,280.0,0.0,0.0,75,Clouds,15,Saturday,October
,279.06,0.0,0.0,90,Clouds,16,Saturday,October
,278.91,0.0,0.0,90,Clouds,17,Saturday,October
,278.39,0.0,0.0,90,Clouds,18,Saturday,October
,278.16,0.0,0.0,90,Clouds,19,Saturday,October
,278.16,0.0,0.0,90,Clouds,20,Saturday,October
,277.93,0.0,0.0,90,Clouds,21,Saturday,October
,276.9,0.0,0.0,90,Clouds,22,Saturday,October
,276.34,0.0,0.0,75,Clouds,23,Saturday,October
,276.11,0.0,0.0,75,Clouds,0,Sunday,October
,275.73,0.0,0.0,90,Clouds,3,Sunday,October
,275.65,0.0,0.0,90,Clouds,4,Sunday,October
,275.51,0.0,0.0,75,Clouds,5,Sunday,October
,275.05,0.0,0.0,90,Clouds,6,Sunday,October
,274.77,0.0,0.0,90,Clouds,7,Sunday,October
,274.77,0.0,0.0,75,Clouds,8,Sunday,October
,275.55,0.0,0.0,75,Clouds,9,Sunday,October
,276.24,0.0,0.0,75,Clouds,10,Sunday,October
,277.01,0.0,0.0,90,Clouds,11,Sunday,October
,277.43,0.0,0.0,90,Clouds,12,Sunday,October
,278.45,0.0,0.0,90,Clouds,13,Sunday,October
,279.27,0.0,0.0,90,Clouds,14,Sunday,October
,279.27,0.0,0.0,90,Clouds,15,Sunday,October
,279.44,0.0,0.0,90,Clouds,16,Sunday,October
,279.32,0.0,0.0,90,Clouds,17,Sunday,October
,279.27,0.0,0.0,90,Clouds,18,Sunday,October
,278.11,0.0,0.0,90,Clouds,19,Sunday,October
,276.79,0.0,0.0,75,Clouds,20,Sunday,October
,275.73,0.0,0.0,90,Clouds,21,Sunday,October
,274.88,0.0,0.0,75,Clouds,22,Sunday,October
,273.92,0.0,0.0,20,Clouds,23,Sunday,October
Columbus Day,273.08,0.0,0.0,20,Clouds,0,Monday,October
,272.62,0.0,0.0,20,Clouds,1,Monday,October
,271.78,0.0,0.0,1,Clear,2,Monday,October
,271.05,0.0,0.0,1,Clear,3,Monday,October
,270.63,0.0,0.0,1,Clear,4,Monday,October
,270.33,0.0,0.0,1,Clear,5,Monday,October
,269.61,0.0,0.0,20,Clouds,6,Monday,October
,270.01,0.0,0.0,20,Clouds,7,Monday,October
,271.23,0.0,0.0,20,Clouds,8,Monday,October
,273.71,0.0,0.0,20,Clouds,9,Monday,October
,276.77,0.0,0.0,20,Clouds,10,Monday,October
,279.47,0.0,0.0,20,Clouds,11,Monday,October
,279.84,0.0,0.0,1,Clear,12,Monday,October
,282.34,0.0,0.0,40,Clouds,13,Monday,October
,282.94,0.0,0.0,40,Clouds,14,Monday,October
,283.48,0.0,0.0,1,Clear,15,Monday,October
,284.33,0.0,0.0,1,Clear,16,Monday,October
,284.48,0.0,0.0,40,Clouds,17,Monday,October
,284.23,0.0,0.0,40,Clouds,18,Monday,October
,281.99,0.0,0.0,20,Clouds,19,Monday,October
,279.81,0.0,0.0,1,Clear,20,Monday,October
,279.35,0.0,0.0,1,Clear,21,Monday,October
,278.9,0.0,0.0,1,Clear,22,Monday,October
,278.46,0.0,0.0,1,Clear,23,Monday,October
,277.78,0.0,0.0,1,Clear,0,Tuesday,October
,277.27,0.0,0.0,1,Clear,1,Tuesday,October
,277.47,0.0,0.0,1,Clear,2,Tuesday,October
,276.97,0.0,0.0,20,Clouds,4,Tuesday,October
,276.52,0.0,0.0,40,Clouds,5,Tuesday,October
,276.6,0.0,0.0,40,Clouds,6,Tuesday,October
,277.31,0.0,0.0,75,Clouds,7,Tuesday,October
,278.38,0.0,0.0,90,Clouds,8,Tuesday,October
,279.35,0.0,0.0,90,Clouds,9,Tuesday,October
,281.37,0.0,0.0,90,Clouds,10,Tuesday,October
,283.11,0.0,0.0,90,Clouds,11,Tuesday,October
,284.08,0.0,0.0,75,Clouds,12,Tuesday,October
,285.14,0.0,0.0,75,Clouds,13,Tuesday,October
,286.35,0.0,0.0,90,Clouds,14,Tuesday,October
,287.23,0.0,0.0,100,Rain,15,Tuesday,October
,288.53,0.0,0.0,90,Clouds,16,Tuesday,October
,290.37,0.0,0.0,90,Clouds,17,Tuesday,October
,290.13,0.0,0.0,90,Clouds,18,Tuesday,October
,288.86,0.0,0.0,75,Clouds,19,Tuesday,October
,287.36,0.0,0.0,90,Clouds,20,Tuesday,October
,285.11,0.0,0.0,90,Clouds,21,Tuesday,October
,283.46,0.0,0.0,90,Clouds,22,Tuesday,October
,282.45,0.0,0.0,90,Clouds,23,Tuesday,October
,281.88,0.0,0.0,90,Clouds,0,Wednesday,October
,281.78,0.0,0.0,90,Clouds,1,Wednesday,October
,281.09,0.0,0.0,75,Clouds,2,Wednesday,October
,281.17,0.0,0.0,90,Clouds,3,Wednesday,October
,281.25,0.0,0.0,92,Clear,6,Wednesday,October
,281.25,0.0,0.0,99,Rain,7,Wednesday,October
,281.25,0.0,0.0,99,Drizzle,7,Wednesday,October
,280.1,0.0,0.0,99,Rain,8,Wednesday,October
,280.1,0.0,0.0,99,Drizzle,8,Wednesday,October
,279.61,0.0,0.0,99,Rain,9,Wednesday,October
,279.61,0.0,0.0,99,Drizzle,9,Wednesday,October
,279.67,0.0,0.0,99,Clear,10,Wednesday,October
,280.19,0.0,0.0,1,Clear,11,Wednesday,October
,282.09,0.0,0.0,75,Clouds,12,Wednesday,October
,282.26,0.0,0.0,75,Clouds,13,Wednesday,October
,282.05,0.0,0.0,90,Clouds,14,Wednesday,October
,281.59,0.0,0.0,90,Clouds,15,Wednesday,October
,281.23,0.0,0.0,81,Clear,16,Wednesday,October
,282.6,0.0,0.0,81,Clear,18,Wednesday,October
,282.6,0.0,0.0,81,Clear,19,Wednesday,October
,282.6,0.0,0.0,81,Clear,20,Wednesday,October
,282.6,0.0,0.0,81,Clear,21,Wednesday,October
,282.6,0.0,0.0,81,Clear,22,Wednesday,October
,282.6,0.0,0.0,81,Clear,23,Wednesday,October
,273.9,0.0,0.0,1,Clear,1,Thursday,October
,274.4,0.0,0.0,75,Clouds,3,Thursday,October
,274.05,0.0,0.0,75,Clouds,4,Thursday,October
,273.71,0.0,0.0,40,Clouds,5,Thursday,October
,272.66,0.0,0.0,1,Clear,6,Thursday,October
,272.65,0.0,0.0,1,Clear,7,Thursday,October
,272.52,0.0,0.0,1,Clear,8,Thursday,October
,275.19,0.0,0.0,20,Clouds,9,Thursday,October
,275.34,0.0,0.0,1,Clear,10,Thursday,October
,284.1,0.0,0.0,50,Clear,14,Thursday,October
,284.1,0.0,0.0,50,Clear,15,Thursday,October
